Date,date,open,high,low,close,adjusted_close,volume,Daily Return,5-Day MA,Year
2016-01-04,2016-01-04,102.61,105.37,102.0,105.35,23.7309,270597600,2.6703050384952682,,2016
2016-01-05,2016-01-05,105.75,105.85,102.41,102.71,23.1363,223164000,-2.8747044917257742,,2016
2016-01-06,2016-01-06,100.56,102.37,99.87,100.7,22.6835,273829600,0.13922036595067677,,2016
2016-01-07,2016-01-07,98.68,100.13,96.43,96.45,21.7261,324377600,-2.259829752736121,,2016
2016-01-08,2016-01-08,98.55,99.11,96.76,96.96,21.841,283192000,-1.6133942161339458,100.434,2016
2016-01-11,2016-01-11,98.97,99.06,97.34,98.53,22.1947,198957600,-0.44457916540365544,99.07,2016
2016-01-12,2016-01-12,100.55,100.69,98.84,99.96,22.5168,196616800,-0.5867727498756872,98.52,2016
2016-01-13,2016-01-13,100.32,101.19,97.3,97.39,21.9379,249758400,-2.9206539074960056,97.85799999999999,2016
2016-01-14,2016-01-14,97.96,100.48,95.74,99.52,22.4177,252680400,1.5924867292772582,98.47200000000001,2016
2016-01-15,2016-01-15,96.2,97.71,95.36,97.13,21.8793,319335600,0.966735966735959,98.506,2016
